Chico CA,Redding CA,73,75
Chico CA,Sacramento CA,90,89
Fresno CA,Stockton CA,126,115
Point Reyes Station CA,Sacramento CA,95,105
Point Reyes Station CA,San Francisco CA,42,67
Redding CA,Sacramento CA,162,151
Sacramento CA,San Francisco CA,88,81
Sacramento CA,Stockton CA,49,47
San Francisco CA,Stockton CA,88,79
